Origin,Dest,OriginCityName,DestCityName,OriginStateName,DestStateName,LatitudeDep,LongitudeDep,LatitudeArr,LongitudeArr
SAT,DFW,"San Antonio, TX","Dallas/Fort Worth, TX",Texas,Texas,29.5334,-98.4692,32.8965,-97.0465
DAB,DFW,"Daytona Beach, FL","Dallas/Fort Worth, TX",Florida,Texas,29.1816,-81.0543,32.8965,-97.0465
DFW,DAB,"Dallas/Fort Worth, TX","Daytona Beach, FL",Texas,Florida,32.8965,-97.0465,29.1816,-81.0543
DFW,FSD,"Dallas/Fort Worth, TX","Sioux Falls, SD",Texas,South Dakota,32.8965,-97.0465,43.5827,-96.7412
FSD,PHX,"Sioux Falls, SD","Phoenix, AZ",South Dakota,Arizona,43.5827,-96.7412,33.4328,-112.0068
PIA,DFW,"Peoria, IL","Dallas/Fort Worth, TX",Illinois,Texas,40.6652,-89.6968,32.8965,-97.0465
BMI,DFW,"Bloomington/Normal, IL","Dallas/Fort Worth, TX",Illinois,Texas,40.4734,-88.9148,32.8965,-97.0465
RAP,PHX,"Rapid City, SD","Phoenix, AZ",South Dakota,Arizona,44.0448,-103.0607,33.4328,-112.0068
PHX,RAP,"Phoenix, AZ","Rapid City, SD",Arizona,South Dakota,33.4328,-112.0068,44.0448,-103.0607
DFW,BOI,"Dallas/Fort Worth, TX","Boise, ID",Texas,Idaho,32.8965,-97.0465,43.5599,-116.2078
BOI,DFW,"Boise, ID","Dallas/Fort Worth, TX",Idaho,Texas,43.5599,-116.2078,32.8965,-97.0465
DFW,MCI,"Dallas/Fort Worth, TX","Kansas City, MO",Texas,Missouri,32.8965,-97.0465,39.3022,-94.7208
MCI,DFW,"Kansas City, MO","Dallas/Fort Worth, TX",Missouri,Texas,39.3022,-94.7208,32.8965,-97.0465
LBB,PHX,"Lubbock, TX","Phoenix, AZ",Texas,Arizona,33.6653,-101.8267,33.4328,-112.0068
PHX,LBB,"Phoenix, AZ","Lubbock, TX",Arizona,Texas,33.4328,-112.0068,33.6653,-101.8267
JFK,ORF,"New York, NY","Norfolk, VA",New York,Virginia,40.6429,-73.7794,36.8947,-76.2023
DCA,IND,"Washington, DC","Indianapolis, IN",Virginia,Indiana,38.8513,-77.0397,39.7163,-86.2951
ORD,HHH,"Chicago, IL","Hilton Head, SC",Illinois,South Carolina,41.9783,-87.9092,32.2252,-80.6969
LGA,TVC,"New York, NY","Traverse City, MI",New York,Michigan,40.7757,-73.8734,44.7417,-85.5803
TVC,LGA,"Traverse City, MI","New York, NY",Michigan,New York,44.7417,-85.5803,40.7757,-73.8734
ORF,JFK,"Norfolk, VA","New York, NY",Virginia,New York,36.8947,-76.2023,40.6429,-73.7794
BWI,JFK,"Baltimore, MD","New York, NY",Maryland,New York,39.1747,-76.6708,40.6429,-73.7794
HHH,ORD,"Hilton Head, SC","Chicago, IL",South Carolina,Illinois,32.2252,-80.6969,41.9783,-87.9092
OMA,LGA,"Omaha, NE","New York, NY",Nebraska,New York,41.3011,-95.8899,40.7757,-73.8734
LGA,OMA,"New York, NY","Omaha, NE",New York,Nebraska,40.7757,-73.8734,41.3011,-95.8899
CLE,LGA,"Cleveland, OH","New York, NY",Ohio,New York,39.0678,-84.1566,40.7757,-73.8734
LGA,CLE,"New York, NY","Cleveland, OH",New York,Ohio,40.7757,-73.8734,39.0678,-84.1566
CLT,HHH,"Charlotte, NC","Hilton Head, SC",North Carolina,South Carolina,35.2107,-80.9457,32.2252,-80.6969
PIT,RDU,"Pittsburgh, PA","Raleigh/Durham, NC",Pennsylvania,North Carolina,40.4918,-80.237,35.8804,-78.7872
RDU,PIT,"Raleigh/Durham, NC","Pittsburgh, PA",North Carolina,Pennsylvania,35.8804,-78.7872,40.4918,-80.237
CMH,JFK,"Columbus, OH","New York, NY",Ohio,New York,39.9971,-82.893,40.6429,-73.7794
IND,LGA,"Indianapolis, IN","New York, NY",Indiana,New York,39.7163,-86.2951,40.7757,-73.8734
MIA,TUL,"Miami, FL","Tulsa, OK",Florida,Oklahoma,25.795,-80.2867,36.201,-95.8868
HHH,CLT,"Hilton Head, SC","Charlotte, NC",South Carolina,North Carolina,32.2252,-80.6969,35.2107,-80.9457
JFK,BNA,"New York, NY","Nashville, TN",New York,Tennessee,40.6429,-73.7794,36.1196,-86.6831
JFK,CMH,"New York, NY","Columbus, OH",New York,Ohio,40.6429,-73.7794,39.9971,-82.893
LGA,IND,"New York, NY","Indianapolis, IN",New York,Indiana,40.7757,-73.8734,39.7163,-86.2951
LGA,PNS,"New York, NY","Pensacola, FL",New York,Florida,40.7757,-73.8734,30.4726,-87.1881
PNS,LGA,"Pensacola, FL","New York, NY",Florida,New York,30.4726,-87.1881,40.7757,-73.8734
LGA,OKC,"New York, NY","Oklahoma City, OK",New York,Oklahoma,40.7757,-73.8734,35.3848,-97.6053
HHH,BOS,"Hilton Head, SC","Boston, MA",South Carolina,Massachusetts,32.2252,-80.6969,42.3632,-71.0136
ORF,LGA,"Norfolk, VA","New York, NY",Virginia,New York,36.8947,-76.2023,40.7757,-73.8734
PBI,DCA,"West Palm Beach/Palm Beach, FL","Washington, DC",Florida,Virginia,26.6859,-80.0925,38.8513,-77.0397
OKC,LGA,"Oklahoma City, OK","New York, NY",Oklahoma,New York,35.3848,-97.6053,40.7757,-73.8734
MEM,LGA,"Memphis, TN","New York, NY",Tennessee,New York,35.0463,-89.9769,40.7757,-73.8734
DCA,PBI,"Washington, DC","West Palm Beach/Palm Beach, FL",Virginia,Florida,38.8513,-77.0397,26.6859,-80.0925
MIA,CHA,"Miami, FL","Chattanooga, TN",Florida,Tennessee,25.795,-80.2867,35.0324,-85.2017
CHA,MIA,"Chattanooga, TN","Miami, FL",Tennessee,Florida,35.0324,-85.2017,25.795,-80.2867
BNA,JFK,"Nashville, TN","New York, NY",Tennessee,New York,36.1196,-86.6831,40.6429,-73.7794
MIA,DSM,"Miami, FL","Des Moines, IA",Florida,Iowa,25.795,-80.2867,41.5345,-93.6592
DSM,MIA,"Des Moines, IA","Miami, FL",Iowa,Florida,41.5345,-93.6592,25.795,-80.2867
LGA,XNA,"New York, NY","Fayetteville, AR",New York,Arkansas,40.7757,-73.8734,36.2798,-94.3026
HHH,DCA,"Hilton Head, SC","Washington, DC",South Carolina,Virginia,32.2252,-80.6969,38.8513,-77.0397
MIA,HSV,"Miami, FL","Huntsville, AL",Florida,Alabama,25.795,-80.2867,34.637,-86.7638
PIT,LGA,"Pittsburgh, PA","New York, NY",Pennsylvania,New York,40.4918,-80.237,40.7757,-73.8734
CMH,LGA,"Columbus, OH","New York, NY",Ohio,New York,39.9971,-82.893,40.7757,-73.8734
DCA,LGA,"Washington, DC","New York, NY",Virginia,New York,38.8513,-77.0397,40.7757,-73.8734
HSV,MIA,"Huntsville, AL","Miami, FL",Alabama,Florida,34.637,-86.7638,25.795,-80.2867
TUL,MIA,"Tulsa, OK","Miami, FL",Oklahoma,Florida,36.201,-95.8868,25.795,-80.2867
HHH,LGA,"Hilton Head, SC","New York, NY",South Carolina,New York,32.2252,-80.6969,40.7757,-73.8734
LGA,PIT,"New York, NY","Pittsburgh, PA",New York,Pennsylvania,40.7757,-73.8734,40.4918,-80.237
LGA,HHH,"New York, NY","Hilton Head, SC",New York,South Carolina,40.7757,-73.8734,32.2252,-80.6969
JFK,BWI,"New York, NY","Baltimore, MD",New York,Maryland,40.6429,-73.7794,39.1747,-76.6708
MIA,ALB,"Miami, FL","Albany, NY",Florida,New York,25.795,-80.2867,42.748,-73.7986
DCA,RSW,"Washington, DC","Fort Myers, FL",Virginia,Florida,38.8513,-77.0397,26.5329,-81.7588
RSW,DCA,"Fort Myers, FL","Washington, DC",Florida,Virginia,26.5329,-81.7588,38.8513,-77.0397
DAY,LGA,"Dayton, OH","New York, NY",Ohio,New York,39.9053,-84.2202,40.7757,-73.8734
LGA,DAY,"New York, NY","Dayton, OH",New York,Ohio,40.7757,-73.8734,39.9053,-84.2202
ALB,MIA,"Albany, NY","Miami, FL",New York,Florida,42.748,-73.7986,25.795,-80.2867
DCA,SRQ,"Washington, DC","Sarasota/Bradenton, FL",Virginia,Florida,38.8513,-77.0397,27.396,-82.5541
SRQ,DCA,"Sarasota/Bradenton, FL","Washington, DC",Florida,Virginia,27.396,-82.5541,38.8513,-77.0397
CHO,LGA,"Charlottesville, VA","New York, NY",Virginia,New York,38.141,-78.4505,40.7757,-73.8734
LGA,CHO,"New York, NY","Charlottesville, VA",New York,Virginia,40.7757,-73.8734,38.141,-78.4505
CLT,MVY,"Charlotte, NC","Martha's Vineyard, MA",North Carolina,Massachusetts,35.2107,-80.9457,41.3924,-70.6146
XNA,LGA,"Fayetteville, AR","New York, NY",Arkansas,New York,36.2798,-94.3026,40.7757,-73.8734
LGA,DCA,"New York, NY","Washington, DC",New York,Virginia,40.7757,-73.8734,38.8513,-77.0397
LGA,ORF,"New York, NY","Norfolk, VA",New York,Virginia,40.7757,-73.8734,36.8947,-76.2023
AVL,LGA,"Asheville, NC","New York, NY",North Carolina,New York,35.4364,-82.5409,40.7757,-73.8734
BOS,MEM,"Boston, MA","Memphis, TN",Massachusetts,Tennessee,42.3632,-71.0136,35.0463,-89.9769
LGA,AVL,"New York, NY","Asheville, NC",New York,North Carolina,40.7757,-73.8734,35.4364,-82.5409
BOS,HHH,"Boston, MA","Hilton Head, SC",Massachusetts,South Carolina,42.3632,-71.0136,32.2252,-80.6969
JFK,CVG,"New York, NY","Cincinnati, OH",New York,Kentucky,40.6429,-73.7794,39.0499,-84.6652
CLE,JFK,"Cleveland, OH","New York, NY",Ohio,New York,39.0678,-84.1566,40.6429,-73.7794
LGA,CMH,"New York, NY","Columbus, OH",New York,Ohio,40.7757,-73.8734,39.9971,-82.893
TVC,PHL,"Traverse City, MI","Philadelphia, PA",Michigan,Pennsylvania,44.7417,-85.5803,39.875,-75.2352
DCA,VPS,"Washington, DC","Valparaiso, FL",Virginia,Florida,38.8513,-77.0397,30.4863,-86.5134
PHL,TVC,"Philadelphia, PA","Traverse City, MI",Pennsylvania,Michigan,39.875,-75.2352,44.7417,-85.5803
VPS,DCA,"Valparaiso, FL","Washington, DC",Florida,Virginia,30.4863,-86.5134,38.8513,-77.0397
PIT,JFK,"Pittsburgh, PA","New York, NY",Pennsylvania,New York,40.4918,-80.237,40.6429,-73.7794
JFK,PIT,"New York, NY","Pittsburgh, PA",New York,Pennsylvania,40.6429,-73.7794,40.4918,-80.237
LGA,CVG,"New York, NY","Cincinnati, OH",New York,Kentucky,40.7757,-73.8734,39.0499,-84.6652
ORH,JFK,"Worcester, MA","New York, NY",Massachusetts,New York,42.2686,-71.8731,40.6429,-73.7794
GSO,LGA,"Greensboro/High Point, NC","New York, NY",North Carolina,New York,36.1021,-79.9446,40.7757,-73.8734
LGA,GSO,"New York, NY","Greensboro/High Point, NC",New York,North Carolina,40.7757,-73.8734,36.1021,-79.9446
JFK,ORH,"New York, NY","Worcester, MA",New York,Massachusetts,40.6429,-73.7794,42.2686,-71.8731
IND,DCA,"Indianapolis, IN","Washington, DC",Indiana,Virginia,39.7163,-86.2951,38.8513,-77.0397
ORD,MVY,"Chicago, IL","Martha's Vineyard, MA",Illinois,Massachusetts,41.9783,-87.9092,41.3924,-70.6146
IND,JFK,"Indianapolis, IN","New York, NY",Indiana,New York,39.7163,-86.2951,40.6429,-73.7794
LGA,SDF,"New York, NY","Louisville, KY",New York,Kentucky,40.7757,-73.8734,38.1717,-85.7354
SDF,LGA,"Louisville, KY","New York, NY",Kentucky,New York,38.1717,-85.7354,40.7757,-73.8734
RIC,JFK,"Richmond, VA","New York, NY",Virginia,New York,37.507,-77.3215,40.6429,-73.7794
LGA,RIC,"New York, NY","Richmond, VA",New York,Virginia,40.7757,-73.8734,37.507,-77.3215
RIC,LGA,"Richmond, VA","New York, NY",Virginia,New York,37.507,-77.3215,40.7757,-73.8734
DCA,HHH,"Washington, DC","Hilton Head, SC",Virginia,South Carolina,38.8513,-77.0397,32.2252,-80.6969
JFK,CLE,"New York, NY","Cleveland, OH",New York,Ohio,40.6429,-73.7794,39.0678,-84.1566
BOS,TVC,"Boston, MA","Traverse City, MI",Massachusetts,Michigan,42.3632,-71.0136,44.7417,-85.5803
JFK,IND,"New York, NY","Indianapolis, IN",New York,Indiana,40.6429,-73.7794,39.7163,-86.2951
ILM,LGA,"Wilmington, NC","New York, NY",North Carolina,New York,34.2735,-77.9095,40.7757,-73.8734
JFK,RIC,"New York, NY","Richmond, VA",New York,Virginia,40.6429,-73.7794,37.507,-77.3215
CVG,JFK,"Cincinnati, OH","New York, NY",Kentucky,New York,39.0499,-84.6652,40.6429,-73.7794
LGA,ROA,"New York, NY","Roanoke, VA",New York,Virginia,40.7757,-73.8734,37.3244,-79.9768
ROA,LGA,"Roanoke, VA","New York, NY",Virginia,New York,37.3244,-79.9768,40.7757,-73.8734
DCA,EYW,"Washington, DC","Key West, FL",Virginia,Florida,38.8513,-77.0397,24.5555,-81.7596
EYW,DCA,"Key West, FL","Washington, DC",Florida,Virginia,24.5555,-81.7596,38.8513,-77.0397
LGA,ILM,"New York, NY","Wilmington, NC",New York,North Carolina,40.7757,-73.8734,34.2735,-77.9095
MEM,BOS,"Memphis, TN","Boston, MA",Tennessee,Massachusetts,35.0463,-89.9769,42.3632,-71.0136
PVD,MIA,"Providence, RI","Miami, FL",Rhode Island,Florida,41.7224,-71.4286,25.795,-80.2867
ACK,DCA,"Nantucket, MA","Washington, DC",Massachusetts,Virginia,41.2558,-70.058,38.8513,-77.0397
DCA,ACK,"Washington, DC","Nantucket, MA",Virginia,Massachusetts,38.8513,-77.0397,41.2558,-70.058
ACK,ORD,"Nantucket, MA","Chicago, IL",Massachusetts,Illinois,41.2558,-70.058,41.9783,-87.9092
BOS,SDF,"Boston, MA","Louisville, KY",Massachusetts,Kentucky,42.3632,-71.0136,38.1717,-85.7354
ORD,ACK,"Chicago, IL","Nantucket, MA",Illinois,Massachusetts,41.9783,-87.9092,41.2558,-70.058
SDF,BOS,"Louisville, KY","Boston, MA",Kentucky,Massachusetts,38.1717,-85.7354,42.3632,-71.0136
DCA,MVY,"Washington, DC","Martha's Vineyard, MA",Virginia,Massachusetts,38.8513,-77.0397,41.3924,-70.6146
MVY,DCA,"Martha's Vineyard, MA","Washington, DC",Massachusetts,Virginia,41.3924,-70.6146,38.8513,-77.0397
DCA,ECP,"Washington, DC","Panama City, FL",Virginia,Florida,38.8513,-77.0397,30.3599,-85.804
ECP,DCA,"Panama City, FL","Washington, DC",Florida,Virginia,30.3599,-85.804,38.8513,-77.0397
ACK,CLT,"Nantucket, MA","Charlotte, NC",Massachusetts,North Carolina,41.2558,-70.058,35.2107,-80.9457
CLT,ACK,"Charlotte, NC","Nantucket, MA",North Carolina,Massachusetts,35.2107,-80.9457,41.2558,-70.058
LGA,MEM,"New York, NY","Memphis, TN",New York,Tennessee,40.7757,-73.8734,35.0463,-89.9769
PHL,MVY,"Philadelphia, PA","Martha's Vineyard, MA",Pennsylvania,Massachusetts,39.875,-75.2352,41.3924,-70.6146
EYW,LGA,"Key West, FL","New York, NY",Florida,New York,24.5555,-81.7596,40.7757,-73.8734
LGA,EYW,"New York, NY","Key West, FL",New York,Florida,40.7757,-73.8734,24.5555,-81.7596
LGA,RAP,"New York, NY","Rapid City, SD",New York,South Dakota,40.7757,-73.8734,44.0448,-103.0607
RAP,LGA,"Rapid City, SD","New York, NY",South Dakota,New York,44.0448,-103.0607,40.7757,-73.8734
ACK,PHL,"Nantucket, MA","Philadelphia, PA",Massachusetts,Pennsylvania,41.2558,-70.058,39.875,-75.2352
PHL,ACK,"Philadelphia, PA","Nantucket, MA",Pennsylvania,Massachusetts,39.875,-75.2352,41.2558,-70.058
MVY,PHL,"Martha's Vineyard, MA","Philadelphia, PA",Massachusetts,Pennsylvania,41.3924,-70.6146,39.875,-75.2352
MVY,ORD,"Martha's Vineyard, MA","Chicago, IL",Massachusetts,Illinois,41.3924,-70.6146,41.9783,-87.9092
HHH,PHL,"Hilton Head, SC","Philadelphia, PA",South Carolina,Pennsylvania,32.2252,-80.6969,39.875,-75.2352
PHL,HHH,"Philadelphia, PA","Hilton Head, SC",Pennsylvania,South Carolina,39.875,-75.2352,32.2252,-80.6969
MVY,CLT,"Martha's Vineyard, MA","Charlotte, NC",Massachusetts,North Carolina,41.3924,-70.6146,35.2107,-80.9457
MIA,PVD,"Miami, FL","Providence, RI",Florida,Rhode Island,25.795,-80.2867,41.7224,-71.4286
CLT,EYW,"Charlotte, NC","Key West, FL",North Carolina,Florida,35.2107,-80.9457,24.5555,-81.7596
EYW,CLT,"Key West, FL","Charlotte, NC",Florida,North Carolina,24.5555,-81.7596,35.2107,-80.9457
TVC,BOS,"Traverse City, MI","Boston, MA",Michigan,Massachusetts,44.7417,-85.5803,42.3632,-71.0136
MCI,BOS,"Kansas City, MO","Boston, MA",Missouri,Massachusetts,39.3022,-94.7208,42.3632,-71.0136
HHH,ATL,"Hilton Head, SC","Atlanta, GA",South Carolina,Georgia,32.2252,-80.6969,33.6374,-84.4298
JFK,MVY,"New York, NY","Martha's Vineyard, MA",New York,Massachusetts,40.6429,-73.7794,41.3924,-70.6146
MVY,JFK,"Martha's Vineyard, MA","New York, NY",Massachusetts,New York,41.3924,-70.6146,40.6429,-73.7794
DCA,BOS,"Washington, DC","Boston, MA",Virginia,Massachusetts,38.8513,-77.0397,42.3632,-71.0136
LGA,PWM,"New York, NY","Portland, ME",New York,Maine,40.7757,-73.8734,43.6462,-70.3144
BOS,DCA,"Boston, MA","Washington, DC",Massachusetts,Virginia,42.3632,-71.0136,38.8513,-77.0397
PWM,LGA,"Portland, ME","New York, NY",Maine,New York,43.6462,-70.3144,40.7757,-73.8734
BOS,JAX,"Boston, MA","Jacksonville, FL",Massachusetts,Florida,42.3632,-71.0136,30.3322,-81.6557
JAX,BOS,"Jacksonville, FL","Boston, MA",Florida,Massachusetts,30.3322,-81.6557,42.3632,-71.0136
CLT,BOS,"Charlotte, NC","Boston, MA",North Carolina,Massachusetts,35.2107,-80.9457,42.3632,-71.0136
BOS,MCI,"Boston, MA","Kansas City, MO",Massachusetts,Missouri,42.3632,-71.0136,39.3022,-94.7208
PWM,JFK,"Portland, ME","New York, NY",Maine,New York,43.6462,-70.3144,40.6429,-73.7794
DCA,MSN,"Washington, DC","Madison, WI",Virginia,Wisconsin,38.8513,-77.0397,43.1421,-89.3377
MSN,DCA,"Madison, WI","Washington, DC",Wisconsin,Virginia,43.1421,-89.3377,38.8513,-77.0397
BOS,CLT,"Boston, MA","Charlotte, NC",Massachusetts,North Carolina,42.3632,-71.0136,35.2107,-80.9457
JFK,IAD,"New York, NY","Washington, DC",New York,Virginia,40.6429,-73.7794,38.9523,-77.4535
JFK,PWM,"New York, NY","Portland, ME",New York,Maine,40.6429,-73.7794,43.6462,-70.3144
BOS,CLE,"Boston, MA","Cleveland, OH",Massachusetts,Ohio,42.3632,-71.0136,39.0678,-84.1566
ATL,HHH,"Atlanta, GA","Hilton Head, SC",Georgia,South Carolina,33.6374,-84.4298,32.2252,-80.6969
IAD,JFK,"Washington, DC","New York, NY",Virginia,New York,38.9523,-77.4535,40.6429,-73.7794
PIT,BOS,"Pittsburgh, PA","Boston, MA",Pennsylvania,Massachusetts,40.4918,-80.237,42.3632,-71.0136
BOS,PIT,"Boston, MA","Pittsburgh, PA",Massachusetts,Pennsylvania,42.3632,-71.0136,40.4918,-80.237
JFK,CLT,"New York, NY","Charlotte, NC",New York,North Carolina,40.6429,-73.7794,35.2107,-80.9457
CLT,JFK,"Charlotte, NC","New York, NY",North Carolina,New York,35.2107,-80.9457,40.6429,-73.7794
CLT,LGA,"Charlotte, NC","New York, NY",North Carolina,New York,35.2107,-80.9457,40.7757,-73.8734
LGA,CLT,"New York, NY","Charlotte, NC",New York,North Carolina,40.7757,-73.8734,35.2107,-80.9457
LEX,DCA,"Lexington, KY","Washington, DC",Kentucky,Virginia,38.0348,-84.6049,38.8513,-77.0397
DCA,LEX,"Washington, DC","Lexington, KY",Virginia,Kentucky,38.8513,-77.0397,38.0348,-84.6049
CLE,BOS,"Cleveland, OH","Boston, MA",Ohio,Massachusetts,39.0678,-84.1566,42.3632,-71.0136
LGA,MVY,"New York, NY","Martha's Vineyard, MA",New York,Massachusetts,40.7757,-73.8734,41.3924,-70.6146
MVY,LGA,"Martha's Vineyard, MA","New York, NY",Massachusetts,New York,41.3924,-70.6146,40.7757,-73.8734
JFK,BUF,"New York, NY","Buffalo, NY",New York,New York,40.6429,-73.7794,42.9402,-78.7308
BUF,JFK,"Buffalo, NY","New York, NY",New York,New York,42.9402,-78.7308,40.6429,-73.7794
BOS,MKE,"Boston, MA","Milwaukee, WI",Massachusetts,Wisconsin,42.3632,-71.0136,42.9465,-87.8973
MKE,BOS,"Milwaukee, WI","Boston, MA",Wisconsin,Massachusetts,42.9465,-87.8973,42.3632,-71.0136
CHS,JFK,"Charleston, SC","New York, NY",South Carolina,New York,32.9004,-80.0514,40.6429,-73.7794
JFK,CHS,"New York, NY","Charleston, SC",New York,South Carolina,40.6429,-73.7794,32.9004,-80.0514
LGA,BUF,"New York, NY","Buffalo, NY",New York,New York,40.7757,-73.8734,42.9402,-78.7308
PVD,EWR,"Providence, RI","Newark, NJ",Rhode Island,New Jersey,41.7224,-71.4286,40.6891,-74.1773
MKE,EWR,"Milwaukee, WI","Newark, NJ",Wisconsin,New Jersey,42.9465,-87.8973,40.6891,-74.1773
